Fiscal Year,Tag,Link
2011,10-K,https://www.sec.gov/Archives/edgar/data/1032975/000119312511153485/d10k.htm 
2012,10-K,https://www.sec.gov/Archives/edgar/data/1032975/000104746912006385/a2209777z10-k.htm
2013,10-K,https://www.sec.gov/Archives/edgar/data/1032975/000104746913006614/a2215431z10-k.htm
2014,10-K,https://www.sec.gov/Archives/edgar/data/1032975/000104746914009167/a2221898z10-k.htm 
2015,10-K,https://www.sec.gov/Archives/edgar/data/1032975/000103297515000023/logitech10-k2015.htm 
2011,10-Q1,https://www.sec.gov/Archives/edgar/data/1032975/000103297510000012/q1fy1110q.htm 
2011,10-Q2,https://www.sec.gov/Archives/edgar/data/1032975/000103297510000034/q2fy1110q.htm 
2011,10-Q3,https://www.sec.gov/Archives/edgar/data/1032975/000119312511025852/d10q.htm 
2012,10-Q1,https://www.sec.gov/Archives/edgar/data/1032975/000119312511214392/d10q.htm 
2012,10-Q2,https://www.sec.gov/Archives/edgar/data/1032975/000110465911061563/a11-26344_110q.htm 
2012,10-Q3,https://www.sec.gov/Archives/edgar/data/1032975/000110465912006942/a11-32312_110q.htm 
2012,10-Q1,https://www.sec.gov/Archives/edgar/data/1032975/000110465912054707/a12-15772_110q.htm 
2012,10-Q2,https://www.sec.gov/Archives/edgar/data/1032975/000110465912074325/a12-20171_110q.htm 
2012,10-Q3,https://www.sec.gov/Archives/edgar/data/1032975/000110465913007557/a12-29426_110q.htm 
2013,10-Q1,https://www.sec.gov/Archives/edgar/data/1032975/000110465913061086/a13-16585_110q.htm 
2013,10-Q2,https://www.sec.gov/Archives/edgar/data/1032975/000110465913081156/a13-19860_110q.htm 
2013,10-Q3,https://www.sec.gov/Archives/edgar/data/1032975/000110465914005272/a13-26574_110q.htm 
2015,10-Q1,https://www.sec.gov/Archives/edgar/data/1032975/000110465914081027/a14-17377_110q.htm 
2015,10-Q3,https://www.sec.gov/Archives/edgar/data/1032975/000162828015000267/logitech10q.htm 
